Wall time,Step,Value
1676537147.395442,632320,14.0
1676537151.1106238,634880,14.0
1676537170.2140732,647680,14.0
1676537174.2592876,650240,15.0
1676537177.8600469,652800,15.0
1676537188.5621758,660480,15.0
1676537192.0731483,663040,15.0
1676537195.7010953,665600,15.0
1676537199.262311,668160,15.0
1676537206.9436278,673280,15.0
1676537237.1053379,693760,15.0
1676537240.8812628,696320,15.0
1676537252.082082,704000,16.0
1676537255.6726878,706560,16.0
1676537259.2674527,709120,17.0
1676537266.962329,714240,17.0
1676537273.8136134,719360,18.0
1676537279.6317308,724480,18.0
1676537283.360385,727040,18.0
1676537291.1264367,732160,18.0
1676537298.5996766,737280,18.0
1676537302.2607467,739840,18.0
1676537310.0192995,744960,18.0
1676537328.946596,757760,18.0
1676537333.0465295,760320,18.0
1676537336.8430514,762880,19.0
1676537340.4733706,765440,19.0
1676537344.307626,768000,19.0
1676537363.3058894,780800,19.0
1676537370.5754006,785920,19.0
1676537374.0967696,788480,19.0
1676537377.998139,791040,19.0
1676537381.7237487,793600,19.0
1676537393.104646,801280,19.0
1676537396.8369114,803840,20.0
1676537408.1506321,811520,20.0
1676537415.5917811,816640,20.0
1676537419.3940003,819200,20.0
1676537430.7216458,826880,20.0
1676537438.6778367,832000,20.0
1676537458.2777975,844800,20.0
1676537462.2398448,847360,20.0
1676537466.1707747,849920,21.0
1676537470.364467,852480,21.0
1676537490.397795,865280,23.0
1676537494.4297993,867840,23.0
1676537502.842301,872960,23.0
1676537515.6059794,880640,23.0
1676537519.7547007,883200,23.0
1676537523.9817007,885760,24.0
1676537528.1299472,888320,24.0
1676537536.743295,893440,24.0
1676537544.6556573,898560,24.0
1676537552.6630638,903680,24.0
1676537556.6937325,906240,24.0
1676537560.7645438,908800,24.0
1676537565.1111622,911360,24.0
1676537577.8620718,919040,24.0
1676537586.4953842,924160,24.0
1676537594.77867,929280,24.0
1676537599.1421456,931840,25.0
1676537603.1484227,934400,25.0
1676537607.2106278,936960,25.0
1676537611.2371688,939520,25.0
1676537615.5768375,942080,25.0
1676537619.617127,944640,25.0
1676537644.3509014,960000,26.0
1676537656.97949,967680,26.0
1676537661.3619509,970240,26.0
1676537690.206399,988160,26.0
1676537694.7680123,990720,26.0
1676537712.0478818,1000960,26.0
1676537716.2293656,1003520,26.0
1676537720.4412184,1006080,26.0
1676537724.5685387,1008640,26.0
1676537728.8498404,1011200,26.0
1676537732.8179495,1013760,26.0
1676537736.7952013,1016320,26.0
1676537740.7457314,1018880,26.0
1676537745.100454,1021440,26.0
1676537749.146806,1024000,26.0
1676537757.4872766,1029120,26.0
1676537762.0442078,1031680,26.0
1676537770.813856,1036800,26.0
1676537788.6798406,1047040,27.0
1676537792.9921148,1049600,27.0
1676537806.059465,1057280,27.0
1676537810.2859526,1059840,27.0
1676537814.959366,1062400,28.0
1676537819.426752,1064960,28.0
1676537831.9074624,1072640,29.0
1676537845.508588,1080320,30.0
1676537849.7856057,1082880,30.0
1676537862.7956383,1090560,30.0
1676537867.4277716,1093120,30.0
1676537886.261009,1103360,30.0
1676537890.9940608,1105920,31.0
1676537904.9717238,1113600,31.0
1676537909.3813431,1116160,31.0
1676537913.8378613,1118720,31.0
1676537918.5712318,1121280,31.0
1676537922.9172685,1123840,32.0
1676537927.2978587,1126400,32.0
1676537931.7036107,1128960,32.0
1676537936.486894,1131520,32.0
1676537945.8515038,1136640,32.0
1676537950.4498575,1139200,32.0
1676537955.4732327,1141760,32.0
1676537960.2189317,1144320,32.0
1676537979.3234267,1154560,33.0
1676537984.182889,1157120,33.0
1676537989.11028,1159680,33.0
1676537994.36235,1162240,34.0
1676537999.3199782,1164800,34.0
1676538009.3117664,1169920,34.0
1676538019.341041,1175040,35.0
1676538029.3021019,1180160,35.0
1676538034.0750403,1182720,35.0
1676538049.1301184,1190400,35.0
1676538054.3528762,1192960,35.0
1676538058.7540748,1195520,35.0
1676538065.6787791,1200640,35.0
1676538072.0653267,1205760,35.0
1676538091.381772,1216000,36.0
1676538096.5039427,1218560,36.0
1676538111.5246472,1226240,36.0
1676538116.3337436,1228800,36.0
1676538121.716845,1231360,36.0
1676538126.9070518,1233920,36.0
1676538131.8318624,1236480,36.0
1676538136.7690613,1239040,36.0
1676538142.0248106,1241600,36.0
1676538151.9044764,1246720,36.0
1676538157.2894938,1249280,37.0
1676538161.5735793,1251840,37.0
1676538166.745386,1254400,37.0
1676538177.011399,1259520,37.0
1676538193.0552802,1267200,37.0
1676538214.0966964,1277440,37.0
1676538229.5575461,1285120,37.0
1676538234.487023,1287680,37.0
1676538239.7865725,1290240,37.0
1676538255.9914134,1297920,38.0
1676538265.5315948,1303040,39.0
1676538270.8192499,1305600,39.0
1676538275.0332043,1308160,39.0
1676538278.8503618,1310720,39.0
1676538283.0546083,1313280,39.0
1676538288.1713583,1315840,39.0
1676538293.2454793,1318400,39.0
1676538308.903929,1326080,39.0
1676538313.912367,1328640,39.0
1676538318.5709636,1331200,40.0
1676538322.13487,1333760,40.0
1676538338.5135672,1341440,40.0
1676538376.586084,1359360,40.0
1676538393.4168453,1367040,41.0
1676538398.69669,1369600,41.0
1676538409.8118262,1374720,41.0
1676538415.3331492,1377280,42.0
1676538420.7652304,1379840,42.0
1676538426.8099535,1382400,42.0
1676538432.3575084,1384960,42.0
1676538443.44741,1390080,42.0
1676538448.0967155,1392640,42.0
1676538453.8622231,1395200,42.0
1676538465.1056085,1400320,42.0
1676538470.5696118,1402880,42.0
1676538487.460944,1410560,42.0
1676538498.6296985,1415680,43.0
1676538509.8232791,1420800,43.0
1676538515.5212414,1423360,43.0
1676538521.035593,1425920,43.0
1676538554.7320435,1441280,44.0
1676538560.6213481,1443840,44.0
1676538566.1796255,1446400,44.0
1676538590.1958072,1456640,44.0
1676538608.3747604,1464320,44.0
1676538620.339593,1469440,44.0
1676538633.1305273,1477120,44.0
1676538654.161442,1487360,44.0
1676538678.6994314,1497600,45.0
1676538684.5842934,1500160,45.0
1676538690.1812654,1502720,45.0
1676538701.7429638,1507840,45.0
1676538707.6977556,1510400,45.0
1676538714.5690227,1512960,45.0
1676538721.2607813,1515520,45.0
1676538727.34813,1518080,46.0
1676538738.0201817,1523200,46.0
1676538749.7554963,1528320,48.0
1676538756.9537375,1530880,48.0
1676538762.8882194,1533440,48.0
1676538769.0239103,1536000,48.0
1676538783.1060853,1541120,48.0
1676538789.5363767,1543680,48.0
1676538795.690921,1546240,48.0
1676538808.182193,1551360,48.0
1676538826.1904404,1559040,48.0
1676538838.4398224,1564160,48.0
1676538856.9567378,1571840,49.0
1676538863.5049865,1574400,49.0
1676538875.7940638,1579520,49.0
1676538888.2936387,1584640,49.0
1676538900.3696,1589760,49.0
1676538910.0123553,1594880,49.0
1676538914.0331862,1597440,49.0
1676538930.3645205,1605120,49.0
1676538942.855261,1610240,49.0
1676538948.8794234,1612800,49.0
1676538973.5456748,1623040,49.0
1676538985.765102,1628160,49.0
1676538998.647016,1633280,49.0
1676539017.2349076,1640960,50.0
1676539023.393277,1643520,50.0
1676539029.6466498,1646080,50.0
1676539035.85213,1648640,50.0
1676539042.2732344,1651200,50.0
1676539048.5093095,1653760,50.0
1676539073.6766975,1664000,50.0
1676539085.9320714,1669120,50.0
1676539091.4750519,1671680,50.0
1676539097.3799405,1674240,50.0
1676539103.6348124,1676800,50.0
1676539110.2792428,1679360,50.0
1676539129.8970602,1687040,50.0
1676539136.4609861,1689600,50.0
1676539143.3003874,1692160,50.0
1676539191.0370398,1710080,52.0
1676539210.9903686,1717760,53.0
1676539245.2372644,1730560,54.0
1676539251.6361907,1733120,55.0
1676539258.1989627,1735680,55.0
1676539278.6722832,1743360,55.0
1676539292.26957,1748480,56.0
1676539299.6170201,1751040,57.0
1676539306.3572464,1753600,57.0
1676539326.6296983,1761280,58.0
1676539361.673511,1774080,58.0
1676539375.2092535,1779200,58.0
1676539382.3245678,1781760,58.0
1676539389.1882465,1784320,58.0
1676539394.8060088,1786880,58.0
1676539408.8086267,1792000,58.0
1676539429.4930246,1799680,58.0
1676539436.538585,1802240,58.0
1676539450.4650867,1807360,58.0
1676539480.2284448,1817600,58.0
1676539488.035489,1820160,58.0
1676539503.3604534,1825280,58.0
1676539524.8916364,1832960,58.0
1676539540.1870806,1838080,59.0
1676539554.2502549,1843200,59.0
1676539561.0365286,1845760,59.0
1676539568.2161748,1848320,59.0
1676539581.7095861,1853440,60.0
1676539597.0557966,1858560,61.0
1676539604.5986407,1861120,61.0
1676539611.738101,1863680,61.0
1676539620.896302,1866240,62.0
1676539629.880853,1868800,63.0
1676539645.4312546,1873920,64.0
1676539653.1270318,1876480,64.0
1676539660.616413,1879040,64.0
1676539698.5796392,1891840,64.0
1676539705.7415755,1894400,64.0
1676539713.1097448,1896960,64.0
1676539728.574648,1902080,64.0
1676539735.9514632,1904640,64.0
1676539743.8083122,1907200,64.0
1676539751.3916018,1909760,64.0
1676539797.848191,1927680,64.0
1676539818.6645665,1935360,64.0
1676539825.2525218,1937920,64.0
1676539842.4149055,1943040,64.0
1676539881.3488283,1955840,64.0
1676539886.8265083,1958400,64.0
1676539892.8642755,1960960,64.0
1676539917.1697345,1968640,64.0
1676539925.0244405,1971200,64.0
1676539939.7992396,1976320,64.0
1676539947.1517255,1978880,64.0
1676539954.7375765,1981440,64.0
1676539969.71373,1986560,64.0
1676539976.9849634,1989120,64.0
1676539989.6472633,1994240,64.0
1676539996.3778644,1996800,64.0
1676540003.599295,1999360,64.0
1676540011.270792,2001920,64.0
1676540018.66808,2004480,64.0
1676540026.3099706,2007040,64.0
1676540064.453987,2019840,64.0
1676540072.1431196,2022400,64.0
1676540087.2046182,2027520,64.0
1676540102.6004674,2032640,64.0
1676540117.6969512,2037760,64.0
1676540125.2789764,2040320,64.0
1676540147.4320545,2048000,64.0
1676540154.9678226,2050560,64.0
1676540184.9825344,2060800,64.0
1676540192.1368976,2063360,64.0
1676540199.3600745,2065920,64.0
1676540206.7863128,2068480,64.0
1676540229.0547302,2076160,64.0
1676540251.4497223,2083840,64.0
1676540288.6916966,2096640,64.0
1676540296.0692947,2099200,64.0
1676540309.9946263,2104320,64.0
1676540317.3003166,2106880,64.0
1676540324.2227738,2109440,64.0
1676540339.0453928,2114560,64.0
1676540346.870307,2117120,64.0
1676540354.3855245,2119680,64.0
1676540361.9841924,2122240,64.0
1676540392.4590595,2132480,64.0
1676540399.7713332,2135040,64.0
1676540410.624226,2140160,64.0
1676540418.3922002,2142720,64.0
1676540425.8947809,2145280,64.0
1676540440.8457227,2150400,64.0
1676540448.7854605,2152960,64.0
1676540470.2121873,2160640,64.0
1676540485.0902004,2165760,64.0
1676540522.1470456,2178560,64.0
1676540529.696582,2181120,64.0
1676540551.9759076,2188800,64.0
1676540574.4809291,2196480,64.0
1676540599.868466,2204160,64.0
1676540612.3619082,2206720,64.0
1676540619.6820807,2209280,64.0
1676540642.1614132,2216960,64.0
1676540649.4820845,2219520,64.0
1676540679.671884,2229760,64.0
1676540687.5491412,2232320,64.0
1676540767.3636193,2257920,64.0
1676540789.7464645,2263040,64.0
1676540800.0088186,2265600,64.0
1676540807.5399487,2268160,64.0
1676540815.1236074,2270720,64.0
1676540830.0172255,2275840,64.0
1676540845.1126435,2280960,64.0
1676540859.6427987,2286080,64.0
1676540880.0543694,2293760,64.0
1676540894.3797548,2298880,64.0
1676540902.0441256,2301440,64.0
1676540924.2166479,2309120,64.0
1676540931.7443576,2311680,64.0
1676540943.9687707,2316800,64.0
1676540956.1723046,2321920,64.0
1676540963.4860487,2324480,64.0
1676540969.1763613,2327040,64.0
1676540982.6729348,2332160,64.0
1676540990.129603,2334720,64.0
1676541004.7076766,2339840,64.0
1676541012.2953558,2342400,64.0
1676541041.7553144,2352640,64.0
1676541049.3525314,2355200,64.0
1676541064.384113,2360320,64.0
1676541079.3103073,2365440,64.0
1676541108.4353151,2375680,64.0
1676541115.716262,2378240,64.0
1676541123.333104,2380800,64.0
1676541130.1507556,2383360,64.0
1676541137.2763212,2385920,64.0
1676541144.3949552,2388480,64.0
1676541152.0313804,2391040,64.0
1676541166.849507,2396160,64.0
1676541196.5429082,2406400,64.0
1676541211.5078816,2411520,64.0
1676541218.8140996,2414080,64.0
1676541240.490485,2421760,64.0
1676541268.1614218,2432000,64.0
1676541290.0515282,2439680,64.0
1676541304.4141474,2444800,64.0
1676541311.7222867,2447360,64.0
1676541319.1820726,2449920,64.0
1676541349.13435,2460160,64.0
1676541363.7119882,2465280,64.0
1676541370.9840682,2467840,64.0
1676541378.7631667,2470400,64.0
1676541385.922711,2472960,64.0
1676541400.7342396,2478080,64.0
1676541408.4358253,2480640,64.0
1676541430.3942382,2488320,64.0
1676541467.934645,2501120,64.0
1676541480.1727803,2506240,64.0
1676541487.3982391,2508800,64.0
1676541500.974035,2513920,64.0
1676541508.3574736,2516480,64.0
1676541536.8166409,2526720,64.0
1676541549.664167,2531840,64.0
1676541557.2222297,2534400,64.0
1676541564.641513,2536960,64.0
1676541579.5797346,2542080,64.0
1676541594.359078,2547200,64.0
1676541601.804351,2549760,64.0
1676541609.4818125,2552320,64.0
1676541624.3296003,2557440,64.0
1676541631.8818836,2560000,64.0
1676541646.7136142,2565120,64.0
1676541653.987964,2567680,64.0
1676541661.7473764,2570240,64.0
1676541668.9715533,2572800,64.0
1676541676.347996,2575360,64.0
1676541683.4365125,2577920,64.0
1676541720.3353784,2590720,64.0
1676541735.091108,2595840,64.0
1676541750.0181835,2600960,64.0
1676541757.3207414,2603520,64.0
1676541764.6586025,2606080,64.0
1676541801.6088448,2618880,64.0
1676541831.5743773,2629120,64.0
1676541846.708696,2634240,64.0
1676541856.0219753,2636800,64.0
1676541899.9516456,2652160,64.0
1676541906.0791614,2654720,64.0
1676541913.4014657,2657280,64.0
1676541920.9386759,2659840,64.0
1676541928.9102647,2662400,64.0
1676541958.8403366,2672640,64.0
1676541972.2959106,2677760,64.0
1676541980.090912,2680320,64.0
1676542023.6131186,2695680,64.0
1676542030.8647604,2698240,64.0
1676542053.4066424,2705920,64.0
1676542068.6658933,2711040,64.0
1676542076.0850549,2713600,64.0
1676542083.493285,2716160,64.0
1676542098.212362,2721280,64.0
1676542118.935817,2728960,64.0
1676542126.665927,2731520,64.0
1676542132.046069,2734080,64.0
1676542146.5964088,2739200,64.0
1676542154.3596346,2741760,64.0
1676542162.1708953,2744320,64.0
1676542168.446839,2746880,64.0
1676542175.7040162,2749440,64.0
1676542183.3231628,2752000,64.0
